X,Plate,Sample.Code,OleicAc.concentration.molarity,Oleylamine.concentration.molarity,CdAc.concentration.molarity,Se.concentration.molarity,Run_1_peak_position,Run_1_abs_avg,Run_1_Diameter,Run_2_peak_position,Run_2_peak_abs_avg,Run_2_Diameter,Run_3_peak_position,Run_3_peak_abs_avg,Run_3_Diameter,Avg_peak_position,Std_dev_peak_position,Avg_peak_intensity,Std_dev_peak_intensity,Avg_diameter,Std_dev_diameter,Run_1_FL_Peak_Intensity,Run_1_FL_Peak_Position,Run_2_FL_Peak_Intensity,Run_2_FL_Peak_Position,Run_3_FL_Peak_Intensity,Run_3_FL_Peak_Position,Avg_FL_Peak_Position,Avg_FL_Peak_Intensity,Std_dev_Peak_Position,Std_dev_Peak_Intensity,Run_1_Stokes_shift,Run_2_Stokes_shift,Run_3_Stokes_shift,Avg_Stokes_shift,Std_dev_Stokes_shift
40,1,1-D5,0.125,0,0.075,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1,1-D6,0.125,0,0.075,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3969,616,3163,625,2673,625,622,3268.333333,5.196152423,534.3066119,NA,NA,NA,NA,NA
42,1,1-D7,0.125,0,0.075,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3993,607,1187,614,2707,633,618,2629,13.45362405,1146.871687,NA,NA,NA,NA,NA
43,1,1-D8,0.125,0,0.075,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5012,615,787,612,3116,629,618.6666667,2971.666667,9.073771726,1727.8658,NA,NA,NA,NA,NA
44,1,1-D9,0.125,0,0.075,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5929,628,212,696,3036,629,651,3059,38.97435054,2334.012139,NA,NA,NA,NA,NA
45,1,1-D10,0.125,0,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,1,1-D11,0.125,0,0.1,0.025,426,0.328,1.770497872,NA,NA,NA,NA,NA,NA,426,NA,0.328,NA,1.770497872,NA,5367,607,4725,607,2913,620,611.3333333,4335,7.505553499,1039.10346,181,NA,NA,181,NA
47,1,1-D12,0.125,0,0.1,0.05,426,0.285,1.770497872,NA,NA,NA,NA,NA,NA,426,NA,0.285,NA,1.770497872,NA,5435,610,3370,633,3195,631,624.6666667,4000,12.7410099,1017.210237,184,NA,NA,184,NA
48,1,1-E1,0.125,0,0.1,0.075,NA,0.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.292,NA,NA,NA,4713,620,409,698,2643,643,653.6666667,2588.333333,40.07908848,1757.525786,NA,NA,NA,NA,NA
49,1,1-E2,0.125,0,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5530,611,263,689,3599,664,654.6666667,3130.666667,39.8288003,2175.595602,NA,NA,NA,NA,NA
50,1,1-E3,0.25,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,1,1-E4,0.25,0,0,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,1,1-E5,0.25,0,0,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,1,1-E6,0.25,0,0,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,1,1-E7,0.25,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,1,1-E8,0.25,0,0.025,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,1,1-E9,0.25,0,0.025,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1865,610,272,585,1621,601,598.6666667,1252.666667,12.66227994,700.554225,NA,NA,NA,NA,NA
57,1,1-E10,0.25,0,0.025,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,609,516,589,1890,585,594.3333333,1474,12.85820101,679.358521,NA,NA,NA,NA,NA
58,1,1-E11,0.25,0,0.025,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2435,612,312,697,2252,587,632,1666.333333,57.66281297,960.5680033,NA,NA,NA,NA,NA
59,1,1-E12,0.25,0,0.025,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2180,613,296,699,1878,590,634,1451.333333,57.45432969,826.1950267,NA,NA,NA,NA,NA
60,1,1-F1,0.25,0,0.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,1,1-F2,0.25,0,0.05,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1817,609,1123,466,1133,597,557.3333333,1357.666667,79.32422917,324.8233708,NA,NA,NA,NA,NA
62,1,1-F3,0.25,0,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2274,627,202,694,1135,622,647.6666667,1203.666667,40.20364826,847.2828466,NA,NA,NA,NA,NA
63,1,1-F4,0.25,0,0.05,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2779,629,300,695,877,592,638.6666667,1318.666667,52.17598426,1059.138749,NA,NA,NA,NA,NA
64,1,1-F5,0.25,0,0.05,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2664,662,296,687,1094,611,653.3333333,1351.333333,38.73413654,983.7077253,NA,NA,NA,NA,NA
65,1,1-F6,0.25,0,0.075,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,1,1-F7,0.25,0,0.075,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1911,637,227,699,595,689,675,911,33.28663395,722.8904942,NA,NA,NA,NA,NA
67,1,1-F8,0.25,0,0.075,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962,640,128,697,920,605,647.3333333,1003.333333,46.43633635,751.0425347,NA,NA,NA,NA,NA
68,1,1-F9,0.25,0,0.075,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2155,653,3983,440,747,623,572,2295,115.2952731,1324.79533,NA,NA,NA,NA,NA
69,1,1-F10,0.25,0,0.075,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2245,654,266,506,647,696,618.6666667,1052.666667,99.80647942,857.3347589,NA,NA,NA,NA,NA
70,1,1-F11,0.25,0,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,1,1-F12,0.25,0,0.1,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2079,627,799,619,492,694,646.6666667,1123.333333,41.18656739,687.2827333,NA,NA,NA,NA,NA
72,1,1-G1,0.25,0,0.1,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1819,644,160,689,241,693,675.3333333,740,27.20906712,763.6844898,NA,NA,NA,NA,NA
73,1,1-G2,0.25,0,0.1,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1690,698,3682,440,1073,461,533,2148.333333,143.2794472,1113.33503,NA,NA,NA,NA,NA
74,1,1-G3,0.25,0,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2473,652,180,699,557,696,682.3333333,1070,26.31222783,1003.938577,NA,NA,NA,NA,NA
75,1,1-G4,0.375,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,1,1-G5,0.375,0,0,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,1,1-G6,0.375,0,0,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,1,1-G7,0.375,0,0,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,1,1-G8,0.375,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,1,1-G9,0.375,0,0.025,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,1,1-G10,0.375,0,0.025,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1527,589,295,561,1636,562,570.6666667,1152.666667,15.88500341,608.092281,NA,NA,NA,NA,NA
82,1,1-G11,0.375,0,0.025,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1860,602,837,587,1868,591,593.3333333,1521.666667,7.767453465,484.143459,NA,NA,NA,NA,NA
83,1,1-G12,0.375,0,0.025,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1891,594,414,698,1914,587,626.3333333,1406.333333,62.16376222,701.7484513,NA,NA,NA,NA,NA
84,1,1-H1,0.375,0,0.025,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975,603,671,487,2139,581,557,1595,61.6116872,656.7881444,NA,NA,NA,NA,NA
85,1,1-H2,0.375,0,0.05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,1,1-H3,0.375,0,0.05,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1435,607,659,698,1574,593,632.6666667,1222.666667,57.01169471,402.5918805,NA,NA,NA,NA,NA
87,1,1-H4,0.375,0,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1160,590,353,699,1322,596,628.3333333,945,61.27261487,423.7994809,NA,NA,NA,NA,NA
